# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=8][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=10][T/m^n] polynom_a[n=13][T/m^n] 
+1.4659999999999999e+02 -7.9496211930743834e-08 +6.6367047251589080e-03 -2.6268814855713081e-04 -1.7458421441381358e+00 +1.0789320895028663e+01 -1.7431203255896663e+05 +5.7664284910832066e+06 +1.2125349560687640e+09 -3.5103102133896027e+10 -3.0388146625677104e+12 +4.3547530960297427e+17 
+1.4670000000000002e+02 -7.9609670955474264e-08 +6.6159369260821799e-03 -2.6643035845559388e-04 -1.7341255427856022e+00 +1.0926550193083967e+01 -1.7637631171920508e+05 +5.1665441998921838e+06 +1.2267260746943667e+09 -2.9868314299827663e+10 -3.0759580311826631e+12 +3.5248488475962362e+17 
+1.4680000000000001e+02 -7.9750922738790877e-08 +6.5952637250470039e-03 -2.6355824167518052e-04 -1.7227879838110027e+00 +1.0757038087316745e+01 -1.7297917351735750e+05 +4.6515014995833682e+06 +1.1993141181688619e+09 -2.5365865364019356e+10 -2.9996829946420786e+12 +2.8050987197507309e+17 
+1.4690000000000001e+02 -7.9924375311262392e-08 +6.5746878793213294e-03 -2.5318933920380829e-04 -1.7119395278780212e+00 +1.0235864904954454e+01 -1.6324445903864276e+05 +4.2533701346652741e+06 +1.1231159927583783e+09 -2.1890252214259079e+10 -2.7892272913184858e+12 +2.2440796033361834e+17 
+1.4700000000000000e+02 -8.0134436714466760e-08 +6.5542121461665019e-03 -2.3444118808393677e-04 -1.7016902353090615e+00 +9.3181107457848960e+00 -1.4629600480991352e+05 +4.0042197282825825e+06 +9.9094856769262600e+08 -1.9735970644009102e+10 -2.4238285548896426e+12 +1.8903682194053229e+17 
+1.4709999999999999e+02 -8.0383419691462043e-08 +6.5338382326747685e-03 -2.0690195627767589e-04 -1.6921143675116965e+00 +7.9824133533227606e+00 -1.2170580753200207e+05 +3.9257377914733463e+06 +7.9922140403742361e+08 -1.9103118240782879e+10 -1.8929123005251052e+12 +1.7772270779911834e+17 
+1.4720000000000002e+02 -8.0665255630400155e-08 +6.5135636452677186e-03 -1.7204239120762691e-04 -1.6831429905315705e+00 +6.3016441465397213e+00 -9.0838565022967043e+04 +3.9980834931307435e+06 +5.5871531074409056e+08 -1.9814200729500366e+10 -1.2266569054570344e+12 +1.8766619951391386e+17 
+1.4730000000000001e+02 -8.0971780619123236e-08 +6.4933848401938880e-03 -1.3180387172701926e-04 -1.6746713712820891e+00 +4.3722322152283448e+00 -5.5507135795874296e+04 +4.1910338080379996e+06 +2.8380379273400003e+08 -2.1597324877666103e+10 -4.6542863991995221e+11 +2.1453644568093658e+17 
+1.4740000000000001e+02 -8.1294830753664472e-08 +6.4732982737008664e-03 -8.8127774078081952e-05 -1.6665947766353151e+00 +2.2906065070194055e+00 -1.7524375610482180e+04 +4.4743656998886596e+06 -1.1139666938428888e+07 -2.4180597363311401e+10 +3.5040628667259906e+11 +2.5400259373544480e+17 
+1.4750000000000000e+02 -8.1626242110657612e-08 +6.4533004020416304e-03 -4.2955481082436249e-05 -1.6588084737579918e+00 +1.5319633426220769e-01 +2.1296852660117598e+04 +4.8178562414397988e+06 -3.1174152855276585e+08 -2.7292125857361031e+10 +1.1804815070850857e+12 +3.0173380670481843e+17 
+1.4759999999999999e+02 -8.1957850778944439e-08 +6.4333876814622057e-03 +1.7716286158173015e-06 -1.6512077294254190e+00 -1.9435692246140035e+00 +5.9143690740695922e+04 +5.1912823554231375e+06 -6.0362828923429465e+08 -3.0660016650328751e+10 +1.9844307571779641e+12 +3.5339922562358266e+17 
+1.4770000000000002e+02 -8.2281492851920624e-08 +6.4135565682139628e-03 +4.4112177765802960e-05 -1.6436878107166786e+00 -3.9032611607083414e+00 +9.4203281603607102e+04 +5.5644210828999486e+06 -8.7242645540828526e+08 -3.4012377127132870e+10 +2.7218877973588833e+12 +4.0466800908428902e+17 
+1.4780000000000001e+02 -8.2589004407305137e-08 +6.3938035185487473e-03 +8.2124784486671413e-05 -1.6361439847165555e+00 -5.6294502331698633e+00 +1.2466276402111548e+05 +5.9070494600639259e+06 -1.1037625018839920e+09 -3.7077314610924721e+10 +3.3524863038149307e+12 +4.5120931435462586e+17 
+1.4790000000000001e+02 -8.2872221520690962e-08 +6.3741249887104149e-03 +1.1386806514584903e-04 -1.6284715181092630e+00 -7.0257070694685684e+00 +1.4870927374591929e+05 +6.1889443841567710e+06 -1.2832628768414111e+09 -3.9582935179146324e+10 +3.8358598731885386e+12 +4.8869227949490854e+17 
+1.4800000000000000e+02 -8.3122980315903085e-08 +6.3545174349496809e-03 +1.3740065325856820e-04 -1.6205656779374560e+00 -7.9956032722947885e+00 +1.6452996587211164e+05 +6.3798828823678046e+06 -1.3965541843787549e+09 -4.1257346089912628e+10 +4.1316425402504634e+12 +5.1278606110780749e+17 
+1.4809999999999999e+02 -8.3335393160448496e-08 +6.3349781354785821e-03 +1.5134744869564685e-04 -1.6123488074058732e+00 -8.4716267625533099e+00 +1.7086715041956434e+05 +6.4582153546739668e+06 -1.4337212662555120e+09 -4.1907756376971878e+10 +4.2120789205840317e+12 +5.2045676133022810e+17 
+1.4820000000000002e+02 -8.3512677783747034e-08 +6.3155076563129586e-03 +1.5659854980183273e-04 -1.6038515523438461e+00 -8.5019381488122026e+00 +1.6868390218675855e+05 +6.4365850118694501e+06 -1.4026830730961478e+09 -4.1657776141673737e+10 +4.0998591840637593e+12 +5.1385817284323590e+17 
+1.4830000000000001e+02 -8.3660328179586014e-08 +6.2961073854369901e-03 +1.5461032883880670e-04 -1.5951316351156033e+00 -8.1636147969674848e+00 +1.5949845973816459e+05 +6.3362085752337631e+06 -1.3158168652425783e+09 -4.0710118519016777e+10 +3.8302842855652876e+12 +4.9644105376982246e+17 
+1.4840000000000001e+02 -8.3783838377364731e-08 +6.2767787108299021e-03 +1.4683916989995956e-04 -1.5862467778395541e+00 -7.5337347166206765e+00 +1.4482907401754466e+05 +6.1783026821163269e+06 -1.1855000006053464e+09 -3.9267495896273361e+10 +3.4386554494665322e+12 +4.7165615081432064e+17 
+1.4850000000000000e+02 -8.3888702414063144e-08 +6.2575230204686980e-03 +1.3474145979409434e-04 -1.5772547025059664e+00 -6.6893760733989494e+00 +1.2619399908572741e+05 +5.9840839184878105e+06 -1.0241098623517020e+09 -3.7532620180338676e+10 +2.9602739713784556e+12 +4.4295420285027072e+17 
+1.4859999999999999e+02 -8.3980414284150511e-08 +6.2383417023374856e-03 +1.1977357083912328e-04 -1.5682131314843708e+00 -5.7076162277899396e+00 +1.0511147327661826e+05 +5.7747690105789350e+06 -8.4402370823098969e+08 -3.5708204558875076e+10 +2.4304407973246396e+12 +4.1378596898286163e+17 
+1.4870000000000002e+02 -8.4064468025439544e-08 +6.2192361444138380e-03 +1.0339189021746363e-04 -1.5591797867937058e+00 -4.6655333703400625e+00 +8.3099751198033176e+04 +5.5715745548514491e+06 -6.5761892613579202e+08 -3.3996961034870148e+10 +1.8844572368730581e+12 +3.8760218961411642e+17 
+1.4880000000000001e+02 -8.4146357639094249e-08 +6.2002077346785056e-03 +8.7052792432878870e-05 -1.5502123906321952e+00 -3.6402049808431785e+00 +6.1677073494032396e+04 +5.3957172167619420e+06 -4.7727279215030366e+08 -3.2601602247352337e+10 +1.3576242870096162e+12 +3.6785361531277907e+17 
+1.4890000000000001e+02 -8.4231577170028335e-08 +6.1812578611102750e-03 +7.2212667085853115e-05 -1.5413686650866876e+00 -2.7087093813558623e+00 +4.2361697287678755e+04 +5.2684136191260871e+06 -3.1536271386196220e+08 -3.1724840443414963e+10 +8.8524331135649817e+11 +3.5799099041154509e+17 
+1.4900000000000000e+02 -8.4325620630035608e-08 +6.1623879116923077e-03 +6.0327892526629562e-05 -1.5327063324733217e+00 -1.9481242714323479e+00 +2.6671867586372937e+04 +5.2108804673847407e+06 -1.8426600252666014e+08 -3.1569388618090916e+10 +5.0261540568050635e+11 +3.6146507091441299e+17 
+1.4909999999999999e+02 -8.4432568818157588e-08 +6.1435987938713308e-03 +5.2509598558170390e-05 -1.5242677664266338e+00 -1.4175760276325104e+00 +1.5764080172935473e+04 +5.2374868287818357e+06 -9.3343037109270543e+07 -3.2269535175033234e+10 +2.3629520680893243e+11 +3.8050924276821568e+17 
+1.4920000000000002e+02 -8.4550849682177885e-08 +6.1248894930008698e-03 +4.8487923218251927e-05 -1.5160339485780585e+00 -1.1043859351712124e+00 +9.3478386149884736e+03 +5.3352121931907497e+06 -3.9886508781053774e+07 -3.3685878973000702e+10 +7.7851639057739807e+10 +4.1248754918987194e+17 
+1.4930000000000001e+02 -8.4677477976672737e-08 +6.1062585139016043e-03 +4.7647762926342713e-05 -1.5079705120536284e+00 -9.7792434618011337e-01 +6.7709049157579848e+03 +5.4841884722453449e+06 -1.8172237687683530e+07 -3.5610594813376305e+10 +1.0107338835870476e+10 +4.5354667149306470e+17 
+1.4940000000000001e+02 -8.4809468438905916e-08 +6.0877043613894377e-03 +4.9374008605263168e-05 -1.5000430897514176e+00 -1.0075613227028422e+00 +7.3810356174474409e+03 +5.6645475027769795e+06 -2.2476001610992108e+07 -3.7835856839091187e+10 +1.5884826965581266e+10 +4.9983328110413517e+17 
+1.4950000000000000e+02 -8.4943835803353172e-08 +6.0692255402855231e-03 +5.3051549172051818e-05 -1.4922173148176314e+00 -1.1626667805748159e+00 +1.0525983963330906e+04 +5.8564212025420479e+06 -4.7073549544664480e+07 -4.0153839905209717e+10 +7.8006538919659027e+10 +5.4749406015365376e+17 
+1.4959999999999999e+02 -8.5077594801314435e-08 +6.0508205554182723e-03 +5.8065273659720299e-05 -1.4844588207942313e+00 -1.4126106803273255e+00 +1.5553504549055260e+04 +6.0399416364380727e+06 -8.6240643918848053e+07 -4.2356720208692497e+10 +1.7929495303367242e+11 +5.9267571189152371e+17 
+1.4970000000000002e+02 -8.5207760196390936e-08 +6.0324879116022516e-03 +6.3800081467638400e-05 -1.4767332404948494e+00 -1.7267635369975893e+00 +2.1811362535508484e+04 +6.1952406061004568e+06 -1.3425312997521263e+08 -4.4236671562122452e+10 +3.0257277558625354e+11 +6.3152490235339712e+17 
+1.4980000000000001e+02 -8.5331346708694517e-08 +6.0142261136595125e-03 +6.9640857193520040e-05 -1.4690062071230059e+00 -2.0744950460516365e+00 +2.8647307108222711e+04 +6.3024500532129332e+06 -1.8538672570296600e+08 -4.5585869044598854e+10 +4.3066235836298627e+11 +6.6018831730693875e+17 
+1.4990000000000001e+02 -8.5445369076988582e-08 +5.9960336664117899e-03 +7.4972492124106995e-05 -1.4612433538688421e+00 -2.4251752840811509e+00 +3.5409095021186040e+04 +6.3417019153461019e+06 -2.3391721017403299e+08 -4.6196487699762085e+10 +5.4638622497744208e+11 +6.7481264200252403e+17 
+1.5000000000000000e+02 -8.5546842057165619e-08 +5.9779090746789280e-03 +7.9179882944833128e-05 -1.4534103138251344e+00 -2.7481746130943017e+00 +4.1444488415972744e+04 +6.2931280959471585e+06 -2.7412040436576396e+08 -4.5860702265262527e+10 +6.3256701365270508e+11 +6.7154455698321037e+17 
+1.5009999999999999e+02 -8.5633648682335442e-08 +5.9598512032558448e-03 +8.1760707761915376e-05 -1.4454819972242845e+00 -3.0171831564966216e+00 +4.6206877939777041e+04 +6.1430717280605035e+06 -3.0135816101889926e+08 -4.4437262302199486e+10 +6.7567927854857593e+11 +6.4778584670633728e+17 
+1.5020000000000002e+02 -8.5707145246107009e-08 +5.9418603568196513e-03 +8.2663819576973187e-05 -1.4374704219483525e+00 -3.2231727398408969e+00 +4.9572219217467617e+04 +5.9027205498098563e+06 -3.1533686128743774e+08 -4.2051213868253494e+10 +6.7680634642624988e+11 +6.0595866849184448e+17 
+1.5030000000000001e+02 -8.5769556349662609e-08 +5.9239372000244612e-03 +8.1950863714610114e-05 -1.4293968831165342e+00 -3.3614355693600215e+00 +5.1522108623411274e+04 +5.5894735644655125e+06 -3.1684901647208542e+08 -3.8894178169291931e+10 +6.4068373562841675e+11 +5.4974028872195917e+17 
+1.5040000000000001e+02 -8.5823106606619177e-08 +5.9060823975216883e-03 +7.9683488852250241e-05 -1.4212826757245312e+00 -3.4272640118291391e+00 +5.2038145362532581e+04 +5.2207297357995296e+06 -3.0668715881951630e+08 -3.5157776065844620e+10 +5.7204701965220935e+11 +4.8280796864321075e+17 
+1.5050000000000000e+02 -8.5870020614569368e-08 +5.8882966139660502e-03 +7.5923338430343982e-05 -1.4131490949156005e+00 -3.4159501502480607e+00 +5.1101923183349019e+04 +4.8138880724232458e+06 -2.8564377752793235e+08 -3.1033628802462379e+10 +4.7563165293195422e+11 +4.0883897502562170e+17 
+1.5059999999999999e+02 -8.5912522961949970e-08 +5.8705805140087013e-03 +7.0732052900868879e-05 -1.4050174356727276e+00 -3.3227859058440123e+00 +4.8695032730263491e+04 +4.3863475343559394e+06 -2.5451133735598645e+08 -2.6713357208353546e+10 +3.5617302242430627e+11 +3.3151056868604672e+17 
+1.5070000000000002e+02 -8.5952838270696070e-08 +5.8529347623011594e-03 +6.4171284478316059e-05 -1.3969089929796230e+00 -3.1430638634522228e+00 +4.4799077737871376e+04 +3.9555070750548067e+06 -2.1408240817993316e+08 -2.2388582034694416e+10 +2.1840680961558862e+11 +2.5450000882207187e+17 
+1.5080000000000001e+02 -8.5993191113487882e-08 +5.8353600234951359e-03 +5.6302667493926862e-05 -1.3888450618386001e+00 -2.8720755816872106e+00 +3.9395641483256230e+04 +3.5387656582658086e+06 -1.6514939441464689e+08 -1.8250924135798306e+10 +6.7068229981292786e+10 +1.8148455645786915e+17 
+1.5090000000000001e+02 -8.6035806115377244e-08 +5.8178569622451730e-03 +4.7187855273172984e-05 -1.3808469373995735e+00 -2.5051137070579741e+00 +3.2466328895489361e+04 +3.1535223003769713e+06 -1.0850487537207332e+08 -1.4492004841022108e+10 -9.3107008923665604e+10 +1.1614147999621203e+17 
+1.5100000000000000e+02 -8.6082907877351443e-08 +5.8004262432033967e-03 +3.6888492616960627e-05 -1.3729359146789335e+00 -2.0374704036168234e+00 +2.3992735368649308e+04 +2.8171759672370842e+06 -4.4941353691181660e+07 -1.1303445015679668e+10 -2.5738341459967972e+11 +6.2148040460951936e+16 
+1.5109999999999999e+02 -8.6136242763002053e-08 +5.7830681508433948e-03 +2.5537844431747867e-05 -1.3651278001705247e+00 -1.4704246843170610e+00 +1.4041728164853117e+04 +2.5427199058217695e+06 +2.4437104900052924e+07 -8.8269779238571606e+09 -4.2116543508049677e+11 +2.2200092323289160e+16 
+1.5120000000000002e+02 -8.6195644274277876e-08 +5.7657814489348314e-03 +1.3555688183975854e-05 -1.3574164467613563e+00 -8.2920479475697484e-01 +3.0212984319364505e+03 +2.3255246438508676e+06 +9.7279889430565432e+07 -7.0047877915389833e+09 -5.8041645971635303e+11 -4.9321158411760530e+15 
+1.5130000000000001e+02 -8.6260467665765348e-08 +5.7485645210658149e-03 +1.4334180402043335e-06 -1.3497902186535466e+00 -1.4502563941705809e-01 -8.5752945473092605e+03 +2.1565549301079619e+06 +1.7092485578870937e+08 -5.7291706951344643e+09 -7.3123990233945923e+11 -2.1459750669388028e+16 
+1.5140000000000001e+02 -8.6330068179030857e-08 +5.7314157508302965e-03 -1.0337576043668131e-05 -1.3422374803454709e+00 +5.5089810230528324e-01 -2.0254795755593103e+04 +2.0267756165514824e+06 +2.4270989306647554e+08 -4.8924236360145311e+09 -8.6973926753391577e+11 -2.9593964549658448e+16 
+1.5150000000000000e+02 -8.6403801126219877e-08 +5.7143335218162311e-03 -2.1265879646870549e-05 -1.3347465960311877e+00 +1.2273503853766807e+00 -3.1523923470808139e+04 +1.9271514495702717e+06 +3.0997267741550189e+08 -4.3868426712418823e+09 -9.9201746666306311e+11 -3.1545924360641772e+16 
+1.5159999999999999e+02 -8.6481021734434901e-08 +5.6973162176154760e-03 -3.0860108249188678e-05 -1.3273059300993613e+00 +1.8531168477014126e+00 -4.1889429066877419e+04 +1.8486472413537211e+06 +3.7005114998497766e+08 -4.1047244409570155e+09 -1.0941781516778621e+12 -2.9526788160529032e+16 
+1.5170000000000002e+02 -8.6561085262102441e-08 +5.6803622218186117e-03 -3.8628865865230410e-05 -1.3199038468869264e+00 +2.3969824683624998e+00 -5.0858050793625727e+04 +1.7822277914404937e+06 +4.2028314590573698e+08 -3.9383654875600305e+09 -1.1723246763156509e+12 -2.5747715167262684e+16 
+1.5180000000000001e+02 -8.6643346996210525e-08 +5.6634699180166444e-03 -4.4080747274362823e-05 -1.3125287107371835e+00 +2.8277317300713536e+00 -5.7936517423475940e+04 +1.7188578954606007e+06 +4.5800642597404659e+08 -3.7800623004748850e+09 -1.2225601897158762e+12 -2.2419865812910688e+16 
+1.5190000000000001e+02 -8.6727162171161137e-08 +5.6466376897994289e-03 -4.6724364982177058e-05 -1.3051688859401538e+00 +3.1141500922399490e+00 -6.2631576689649140e+04 +1.6495023334149423e+06 +4.8055890148752576e+08 -3.5221112391982732e+09 -1.2409882589962043e+12 -2.1754402286271252e+16 
+1.5200000000000000e+02 -8.6811886082494941e-08 +5.6298639207579991e-03 -4.6068310390433001e-05 -1.2978127368436561e+00 +3.2250218351924058e+00 -6.4449953223356315e+04 +1.5651259032536645e+06 +4.8527829915833092e+08 -3.0568088156865478e+09 -1.2237119360957051e+12 -2.5962484636463324e+16 
+1.5209999999999999e+02 -8.6896809178354840e-08 +5.6131475907254709e-03 -4.1841172137005294e-05 -1.2904564910908785e+00 +3.1404750198412263e+00 -6.3070665656074452e+04 +1.4599649057480232e+06 +4.7044952209599680e+08 -2.3125205082587562e+09 -1.1683570690071956e+12 -3.6544966165847064e+16 
+1.5220000000000002e+02 -8.6980962748365955e-08 +5.5964900645058407e-03 -3.4651447025340082e-05 -1.2831278295535107e+00 +2.8860082843030108e+00 -5.8861819143712702e+04 +1.3413416354405514e+06 +4.3814546159920681e+08 -1.3618874062045774e+09 -1.0786386823465045e+12 -5.2161479232988208e+16 
+1.5230000000000001e+02 -8.7063313315113502e-08 +5.5798933031435466e-03 -2.5327601279259950e-05 -1.2758622963175696e+00 +2.4984624917564950e+00 -5.2363782353283270e+04 +1.2198498607468028e+06 +3.9138594171871895e+08 -3.1361930092659688e+08 -9.5979391673977722e+11 -7.0761353651174376e+16 
+1.5240000000000001e+02 -8.7142827388342010e-08 +5.5633592676839075e-03 -1.4698105161294800e-05 -1.2686954355003723e+00 +2.0146787188778039e+00 -4.4116927980985805e+04 +1.1060833570088837e+06 +3.3319081783065653e+08 +7.2357396290113044e+08 -8.1705999843681934e+11 -9.0293918578049856e+16 
+1.5250000000000000e+02 -8.7218471467050084e-08 +5.5468899191753766e-03 -3.5914333570660379e-06 -1.2616627913893148e+00 +1.4714983124002319e+00 -3.4661634309765723e+04 +1.0106359618640933e+06 +2.6657999162734622e+08 +1.6409819760114591e+09 -6.5567428645725391e+11 -1.0870849437032398e+17 
+1.5259999999999999e+02 -8.7289212068821410e-08 +5.5304872186600585e-03 +7.1639464867240654e-06 -1.2547999079436738e+00 +9.0576220369169169e-01 -2.4538271187234848e+04 +9.4410139727323863e+05 +1.9457329566790706e+08 +2.3298953680776663e+09 -4.8087394317527289e+11 -1.2395441740570294e+17 
+1.5270000000000002e+02 -8.7354015698319099e-08 +5.5141531271865859e-03 +1.6739561946494583e-05 -1.2481423294593670e+00 +3.5431160308826082e-01 -1.4287214090184509e+04 +9.1707350389601255e+05 +1.2019060844464259e+08 +2.6816037017055645e+09 -2.9789626120487073e+11 -1.3398100757464453e+17 
+1.5280000000000001e+02 -8.7411848848503377e-08 +5.4978896057994737e-03 +2.4306937003131668e-05 -1.2417256000165773e+00 -1.4601209269531615e-01 -4.4488419668497754e+03 +9.4014604500705586e+05 +4.6451835197043486e+07 +2.5873972393783655e+09 -1.1197860580461478e+11 -1.3673759567849552e+17 
+1.5290000000000001e+02 -8.7461678036025227e-08 +5.4816986155451202e-03 +2.9037602914106583e-05 -1.2355852637951004e+00 -5.5836786544556094e-01 +4.4364733025005717e+03 +1.0239128201284527e+06 -2.3623173393056858e+07 +1.9385659140178750e+09 +7.1641806142987213e+10 -1.3017350734212106e+17 
+1.5300000000000000e+02 -8.7502469772187507e-08 +5.4655821174666389e-03 +3.0103090024964865e-05 -1.2297568648065333e+00 -8.4591467470483583e-01 +1.1828359759213830e+04 +1.1789675693720588e+06 -8.7014567997658849e+07 +6.2640019328259242e+08 +2.4772776558736111e+11 -1.1223807646630834e+17 
+1.5309999999999999e+02 -8.7533810094682753e-08 +5.4495411747820651e-03 +2.6937992922236026e-05 -1.2242570603957112e+00 -9.8101192298280082e-01 +1.7291268505653483e+04 +1.4106532010268983e+06 -1.4108261310467395e+08 -1.4080262674454265e+09 +4.1107862857773138e+11 -8.1744374601932208e+16 
+1.5320000000000002e+02 -8.7557763201609495e-08 +5.4335732593757740e-03 +2.0029183882295245e-05 -1.2190269595362497e+00 -9.7282200064572866e-01 +2.0808967467772338e+04 +1.7033086970045366e+06 -1.8470822917506510e+08 -4.0245016797491798e+09 +5.5664058080411292e+11 -4.0960506978669560e+16 
+1.5330000000000001e+02 -8.7577012821099519e-08 +5.4176749453069793e-03 +1.0126600698496442e-05 -1.2139887845330251e+00 -8.3970781162760244e-01 +2.2470048993038075e+04 +2.0360222075101314e+06 -2.1715246117841479e+08 -7.0330310708029470e+09 +6.7939640246285583e+11 +6.9816836260002630e+15 
+1.5340000000000001e+02 -8.7594242688678061e-08 +5.4018428066294234e-03 -2.0198160157039279e-06 -1.2090647574125724e+00 -6.0003242647290533e-01 +2.2363108816414311e+04 +2.3878817851630729e+06 -2.3767638187347510e+08 -1.0243618591381630e+10 +7.7432895285335205e+11 +5.8950340906099216e+16 
+1.5350000000000000e+02 -8.7612136532253396e-08 +5.3860734174018491e-03 -1.5660128213339928e-05 -1.2041771004480297e+00 -2.7215877434323638e-01 +2.0576739926147224e+04 +2.7379755665948144e+06 -2.4554104219391054e+08 -1.3466269140927528e+10 +8.3642103059354163e+11 +1.1181361999804722e+17 
+1.5360000000000002e+02 -8.7633378059601456e-08 +5.3703633516787273e-03 -3.0044404607685351e-05 -1.1992480357046851e+00 +1.2555058835848973e-01 +1.7199528065229792e+04 +3.0653916180178421e+06 -2.4000743549264589e+08 -1.6510986991505915e+10 +8.6065527420259839e+11 +1.6243966644292096e+17 
+1.5370000000000002e+02 -8.7660651033840076e-08 +5.3547091835178095e-03 -4.4422695464982115e-05 -1.1941997854115860e+00 +5.7473209390854685e-01 +1.2320078551477422e+04 +3.3492180632345211e+06 -2.2033671020332605e+08 -1.9187776934548347e+10 +8.4201475234394519e+11 +2.0769663386360816e+17 
+1.5380000000000001e+02 -8.7696639155094070e-08 +5.3391074869740315e-03 -5.8045072258525244e-05 -1.1889545716498440e+00 +1.0570233421551569e+00 +6.0269740542280233e+03 +3.5685429715826823e+06 -1.8578983510613868e+08 -2.1306643264331482e+10 +7.7548203500863196e+11 +2.4445266802692902e+17 
+1.5390000000000001e+02 -8.7744026179688282e-08 +5.3235548361047135e-03 -7.0161587038883319e-05 -1.1834346166334653e+00 +1.5540608488116756e+00 -1.5911815458629819e+03 +3.7024544632579135e+06 -1.3562794822312748e+08 -2.2677590743383736e+10 +6.5604016395093542e+11 +2.6957592217256019e+17 
+1.5400000000000000e+02 -8.7805495818954235e-08 +5.3080478049656226e-03 -8.0022307754358253e-05 -1.1775621424869884e+00 +2.0474820287093642e+00 -1.0445802116567922e+04 +3.7300406238615392e+06 -6.9112045052740589e+07 -2.3110623815820679e+10 +4.7867178171114899e+11 +2.7993454447261584e+17 
+1.5410000000000002e+02 -8.7882791150801051e-08 +5.2925840294959130e-03 -8.7039882546634343e-05 -1.1712885166280356e+00 +2.5198268265721255e+00 -2.0373935821747215e+04 +3.6382855515887416e+06 +1.3421263249475759e+07 -2.2486407122150269e+10 +2.4232207584570410e+11 +2.7353747381558096e+17 
+1.5420000000000002e+02 -8.7973892532109601e-08 +5.2771653931662846e-03 -9.1277346731917172e-05 -1.1646816875522898e+00 +2.9572490686392054e+00 -3.0915242381415243e+04 +3.4457573690135749e+06 +1.0733350090277079e+08 -2.0968245882299934e+10 -3.8215262945955978e+10 +2.5295680945719792e+17 
+1.5430000000000001e+02 -8.8075839672392818e-08 +5.2617948413329904e-03 -9.2960321488048074e-05 -1.1578387491522171e+00 +3.3468054569533368e+00 -4.1535022970481019e+04 +3.1789202454625741e+06 +2.0691063583617118e+08 -1.8790105814247147e+10 -3.4418416914945764e+11 +2.2190544592817754e+17 
+1.5440000000000001e+02 -8.8185672298733679e-08 +5.2464753193493079e-03 -9.2314420544735372e-05 -1.1508567951708555e+00 +3.6755522336178932e+00 -5.1698569191086470e+04 +2.8642382991459533e+06 +3.0643855632224327e+08 -1.6185952180853973e+10 -6.5682834834925183e+11 +1.8409627082263485e+17 
+1.5450000000000000e+02 -8.8300430093887846e-08 +5.2312097725693086e-03 -8.9565274250484722e-05 -1.1438329193948038e+00 +3.9305466088918428e+00 -6.0871192116782884e+04 +2.5281756641195957e+06 +4.0020330904273111e+08 -1.3389750388098667e+10 -9.5739195413808350e+11 +1.4324217395463282e+17 
+1.5460000000000002e+02 -8.8417152780909121e-08 +5.2160011463450468e-03 -8.4938498772790355e-05 -1.1368642155050002e+00 +4.0988449931635449e+00 -6.8518187049845306e+04 +2.1971964368379158e+06 +4.8249081407842404e+08 -1.0635465503625658e+10 -1.2271187854854050e+12 +1.0305603990986610e+17 
+1.5470000000000002e+02 -8.8532880072712171e-08 +5.2008523860357404e-03 -7.8659713227883417e-05 -1.1300477775448807e+00 +4.1675039458343175e+00 -7.4104852025370230e+04 +1.8977648396134872e+06 +5.4758701235320437e+08 -8.1570637212476330e+09 -1.4472526975766792e+12 +6.7250770561978280e+16 
+1.5480000000000001e+02 -8.8644651649562663e-08 +5.1857664369914288e-03 -7.0954548555254008e-05 -1.1234806990976614e+00 +4.1235807017640447e+00 -7.7096498489756326e+04 +1.6563449363961138e+06 +5.8977795289856541e+08 -6.1885098213758802e+09 -1.5990378492295825e+12 +3.9539246162580248e+16 
+1.5490000000000001e+02 -8.8749507244654623e-08 +5.1707462445681552e-03 -6.2048617462197298e-05 -1.1172600740409204e+00 +3.9541314799413629e+00 -7.6958418028084852e+04 +1.4994008897935613e+06 +6.0334952632043791e+08 -4.9637694575179310e+09 -1.6637179576855027e+12 +2.3634360158712796e+16 
+1.5500000000000000e+02 -8.8844486550527490e-08 +5.1557947541193147e-03 -5.2167545904642912e-05 -1.1114829961319512e+00 +3.6462132134872962e+00 -7.3155915873496211e+04 +1.4533968259508780e+06 +5.8258773028930914e+08 -4.7168079714908886e+09 -1.6225370348220027e+12 +2.3249001522837580e+16 
+1.5510000000000002e+02 -8.8927146626499939e-08 +5.1409138901255145e-03 -4.1597235598933912e-05 -1.1062144370755171e+00 +3.1967281087632369e+00 -6.5423109644508484e+04 +1.5359253653965993e+06 +5.2433427960073960e+08 -5.6023619009613762e+09 -1.4646867926186072e+12 +4.0816438401930936e+16 
+1.5520000000000002e+02 -8.8997113922170605e-08 +5.1261014935602353e-03 -3.0864711795490680e-05 -1.1013908796065150e+00 +2.6419604130811765e+00 -5.4569382513811826e+04 +1.7290928624358065e+06 +4.3565387087508464e+08 -7.4582504401024227e+09 -1.2111500291763174e+12 +7.3651424122089856e+16 
